description,code
Myositis,M60
Infektiöse Myositis,M60.0
Interstitielle Myositis,M60.1
"Fremdkörpergranulom im Weichteilgewebe, anderenorts nicht klassifiziert",M60.2
Sonstige Myositis,M60.8
"Myositis, nicht näher bezeichnet",M60.9
Kalzifikation und Ossifikation von Muskeln,M61
Traumatische Myositis ossificans,M61.0
Myositis ossificans progressiva,M61.1
Kalzifikation und Ossifikation von Muskeln bei Lähmungen,M61.2
Kalzifikation und Ossifikation von Muskeln bei Verbrennungen,M61.3
Sonstige Kalzifikation von Muskeln,M61.4
Sonstige Ossifikation von Muskeln,M61.5
"Kalzifikation und Ossifikation von Muskeln, nicht näher bezeichnet",M61.9
Sonstige Muskelkrankheiten,M62
Muskeldiastase,M62.0
Sonstiger Muskelriss (nichttraumatisch),M62.1
Ischämischer Muskelinfarkt (nichttraumatisch),M62.2
Immobilitätssyndrom (paraplegisch),M62.3
Muskelkontraktur,M62.4
"Muskelschwund und -atrophie, anderenorts nicht klassifiziert",M62.5
Muskelzerrung,M62.6
Sonstige näher bezeichnete Muskelkrankheiten,M62.8
"Muskelkrankheit, nicht näher bezeichnet",M62.9
Muskelkrankheiten bei anderenorts klassifizierten Krankheiten,M63
Myositis bei anderenorts klassifizierten bakteriellen Krankheiten,M63.0
Myositis bei anderenorts klassifizierten Protozoen- und Parasiteninfektionen,M63.1
Myositis bei sonstigen anderenorts klassifizierten Infektionskrankheiten,M63.2
Myositis bei Sarkoidose (D86.8†),M63.3
Sonstige Muskelkrankheiten bei anderenorts klassifizierten Krankheiten,M63.8
"Somnolenz, Sopor und Koma",R40
Somnolenz,R40.0
Sopor,R40.1
"Koma, nicht näher bezeichnet",R40.2
"Sonstige Symptome, die das Erkennungsvermögen und das Bewusstsein betreffen",R41
"Orientierungsstörung, nicht näher bezeichnet",R41.0
Anterograde Amnesie,R41.1
Retrograde Amnesie,R41.2
Sonstige Amnesie,R41.3
"Sonstige und nicht näher bezeichnete Symptome, die das Erkennungsvermögen und das Bewusstsein betreffen",R41.8
Schwindel und Taumel,R42
Störungen des Geruchs- und Geschmackssinnes,R43
Anosmie,R43.0
Parosmie,R43.1
Parageusie,R43.2
Sonstige und nicht näher bezeichnete Störungen des Geruchs- und Geschmackssinnes,R43.8
"Sonstige Symptome, die die Sinneswahrnehmungen und das Wahrnehmungsvermögen betreffen",R44
Akustische Halluzinationen,R44.0
Optische Halluzinationen,R44.1
Sonstige Halluzinationen,R44.2
"Halluzinationen, nicht näher bezeichnet",R44.3
"Sonstige und nicht näher bezeichnete Symptome, die die Sinneswahrnehmungen und das Wahrnehmungsvermögen betreffen",R44.8
"Symptome, die die Stimmung betreffen",R45
Nervosität,R45.0
Ruhelosigkeit und Erregung,R45.1
Unglücklichsein,R45.2
Demoralisierung und Apathie,R45.3
Reizbarkeit und Wut,R45.4
Feindseligkeit,R45.5
Körperliche Gewalt,R45.6
"Emotioneller Schock oder Stress, nicht näher bezeichnet",R45.7
"Sonstige Symptome, die die Stimmung betreffen",R45.8
"Symptome, die das äußere Erscheinungsbild und das Verhalten betreffen",R46
Stark vernachlässigte Körperpflege,R46.0
Besonders auffälliges äußeres Erscheinungsbild,R46.1
Seltsames und unerklärliches Verhalten,R46.2
Hyperaktivität,R46.3
Verlangsamung und herabgesetztes Reaktionsvermögen,R46.4
Misstrauen oder ausweichendes Verhalten,R46.5
Unangemessene Betroffenheit und Beschäftigung mit Stressereignissen,R46.6
"Wortschwall oder umständliche Detailschilderung, die die Gründe für eine Konsultation oder Inanspruchnahme verschleiern",R46.7
"Sonstige Symptome, die das äußere Erscheinungsbild und das Verhalten betreffen",R46.8
Tätlicher Angriff,Y09
Tätlicher Angriff,Y09.9
Bösartige Neubildung des Ösophagus,C15
Zervikaler Ösophagus,C15.0
Thorakaler Ösophagus,C15.1
Abdominaler Ösophagus,C15.2
"Ösophagus, oberes Drittel",C15.3
"Ösophagus, mittleres Drittel",C15.4
"Ösophagus, unteres Drittel",C15.5
"Ösophagus, mehrere Teilbereiche überlappend",C15.8
"Ösophagus, nicht näher bezeichnet",C15.9
Bösartige Neubildung des Magens,C16
Kardia,C16.0
Fundus ventriculi,C16.1
Corpus ventriculi,C16.2
Antrum pyloricum,C16.3
Pylorus,C16.4
"Kleine Kurvatur des Magens, nicht näher bezeichnet",C16.5
"Große Kurvatur des Magens, nicht näher bezeichnet",C16.6
"Magen, mehrere Teilbereiche überlappend",C16.8
"Magen, nicht näher bezeichnet",C16.9
Bösartige Neubildung des Dünndarmes,C17
Duodenum,C17.0
Jejunum,C17.1
Ileum,C17.2
Meckel-Divertikel,C17.3
"Dünndarm, mehrere Teilbereiche überlappend",C17.8
"Dünndarm, nicht näher bezeichnet",C17.9
Bösartige Neubildung des Kolons,C18
Zäkum,C18.0
Appendix vermiformis,C18.1
Colon ascendens,C18.2
Flexura coli dextra [hepatica],C18.3
Colon transversum,C18.4
Flexura coli sinistra [lienalis],C18.5
Colon descendens,C18.6
Colon sigmoideum,C18.7
"Kolon, mehrere Teilbereiche überlappend",C18.8
"Kolon, nicht näher bezeichnet",C18.9
"Bösartige Neubildung am Rektosigmoid, Übergang",C19
Bösartige Neubildung des Rektums,C20
Bösartige Neubildung des Anus und des Analkanals,C21
"Anus, nicht näher bezeichnet",C21.0
Analkanal,C21.1
Kloakenregion,C21.2
"Rektum, Anus und Analkanal, mehrere Teilbereiche überlappend",C21.8
Bösartige Neubildung der Leber und der intrahepatischen Gallengänge,C22
Leberzellkarzinom,C22.0
Intrahepatisches Gallengangskarzinom,C22.1
Hepatoblastom,C22.2
Angiosarkom der Leber,C22.3
Sonstige Sarkome der Leber,C22.4
Sonstige näher bezeichnete Karzinome der Leber,C22.7
"Leber, nicht näher bezeichnet",C22.9
Bösartige Neubildung der Gallenblase,C23
Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Gallenwege,C24
Extrahepatischer Gallengang,C24.0
Ampulla hepatopancreatica [Ampulla Vateri],C24.1
"Gallenwege, mehrere Teilbereiche überlappend",C24.8
"Gallenwege, nicht näher bezeichnet",C24.9
Bösartige Neubildung des Pankreas,C25
Pankreaskopf,C25.0
Pankreaskörper,C25.1
Pankreasschwanz,C25.2
Ductus pancreaticus,C25.3
Endokriner Drüsenanteil des Pankreas,C25.4
Sonstige Teile des Pankreas,C25.7
"Pankreas, mehrere Teilbereiche überlappend",C25.8
"Pankreas, nicht näher bezeichnet",C25.9
Bösartige Neubildung sonstiger und ungenau bezeichneter Verdauungsorgane,C26
"Intestinaltrakt, Teil nicht näher bezeichnet",C26.0
Milz,C26.1
"Verdauungssystem, mehrere Teilbereiche überlappend",C26.8
Ungenau bezeichnete Lokalisationen des Verdauungssystems,C26.9
Blutung in der Frühschwangerschaft,O20
Drohender Abort,O20.0
Sonstige Blutung in der Frühschwangerschaft,O20.8
"Blutung in der Frühschwangerschaft, nicht näher bezeichnet",O20.9
Übermäßiges Erbrechen während der Schwangerschaft,O21
Leichte Hyperemesis gravidarum,O21.0
Hyperemesis gravidarum mit Stoffwechselstörung,O21.1
Späterbrechen während der Schwangerschaft,O21.2
"Sonstiges Erbrechen, das die Schwangerschaft kompliziert",O21.8
"Erbrechen während der Schwangerschaft, nicht näher bezeichnet",O21.9
Venenkrankheiten und Hämorrhoiden als Komplikationen in der Schwangerschaft,O22
Varizen der unteren Extremitäten in der Schwangerschaft,O22.0
Varizen der Genitalorgane in der Schwangerschaft,O22.1
Oberflächliche Thrombophlebitis in der Schwangerschaft,O22.2
Tiefe Venenthrombose in der Schwangerschaft,O22.3
Hämorrhoiden in der Schwangerschaft,O22.4
Hirnvenenthrombose in der Schwangerschaft,O22.5
Sonstige Venenkrankheiten als Komplikation in der Schwangerschaft,O22.8
"Venenkrankheit als Komplikation in der Schwangerschaft, nicht näher bezeichnet",O22.9
Infektionen des Urogenitaltraktes in der Schwangerschaft,O23
Infektionen der Niere in der Schwangerschaft,O23.0
Infektionen der Harnblase in der Schwangerschaft,O23.1
Infektionen der Urethra in der Schwangerschaft,O23.2
Infektionen von sonstigen Teilen der Harnwege in der Schwangerschaft,O23.3
Nicht näher bezeichnete Infektion der Harnwege in der Schwangerschaft,O23.4
Infektionen des Genitaltraktes in der Schwangerschaft,O23.5
Sonstige und nicht näher bezeichnete Infektion des Urogenitaltraktes in der Schwangerschaft,O23.9
Diabetes mellitus in der Schwangerschaft,O24
"Vorher bestehender Diabetes mellitus, Typ 1",O24.0
"Vorher bestehender Diabetes mellitus, Typ 2",O24.1
Vorher bestehender Diabetes mellitus durch Fehl- oder Mangelernährung [Malnutrition],O24.2
"Vorher bestehender Diabetes mellitus, nicht näher bezeichnet",O24.3
"Diabetes mellitus, während der Schwangerschaft auftretend",O24.4
"Diabetes mellitus in der Schwangerschaft, nicht näher bezeichnet",O24.9
Fehl- und Mangelernährung in der Schwangerschaft,O25
"Betreuung der Mutter bei sonstigen Zuständen, die vorwiegend mit der Schwangerschaft verbunden sind",O26
Übermäßige Gewichtszunahme in der Schwangerschaft,O26.0
Geringe Gewichtszunahme in der Schwangerschaft,O26.1
Schwangerschaftsbetreuung bei Neigung zu habituellem Abort,O26.2
Schwangerschaft bei liegendem Intrauterinpessar,O26.3
Herpes gestationis,O26.4
Hypotonie-Syndrom der Mutter,O26.5
"Leberkrankheiten während der Schwangerschaft, der Geburt und des Wochenbettes",O26.6
Schwangerschaftscholestase,O26.60
"Sonstige Leberkrankheiten während der Schwangerschaft, der Geburt und des Wochenbettes",O26.68
"Subluxation der Symphysis (pubica) während der Schwangerschaft, der Geburt und des Wochenbettes",O26.7
"Sonstige näher bezeichnete Zustände, die mit der Schwangerschaft verbunden sind",O26.8
"Nierenkrankheit, mit der Schwangerschaft verbunden",O26.81
Karpaltunnel-Syndrom während der Schwangerschaft,O26.82
Periphere Neuritis während der Schwangerschaft,O26.83
"Sonstige näher bezeichnete Zustände, die mit der Schwangerschaft verbunden sind",O26.88
"Mit der Schwangerschaft verbundener Zustand, nicht näher bezeichnet",O26.9
Abnorme Befunde bei der Screeninguntersuchung der Mutter zur pränatalen Diagnostik,O28
Abnormer hämatologischer Befund bei der pränatalen Screeninguntersuchung der Mutter,O28.0
Abnormer biochemischer Befund bei der pränatalen Screeninguntersuchung der Mutter,O28.1
Abnormer zytologischer Befund bei der pränatalen Screeninguntersuchung der Mutter,O28.2
Abnormer Ultraschallbefund bei der pränatalen Screeninguntersuchung der Mutter,O28.3
Abnormer radiologischer Befund bei der pränatalen Screeninguntersuchung der Mutter,O28.4
Abnormer Chromosomen- oder genetischer Befund bei der pränatalen Screeninguntersuchung der Mutter,O28.5
Sonstige abnorme Befunde bei der pränatalen Screeninguntersuchung der Mutter,O28.8
"Anomaler Befund bei der pränatalen Screeninguntersuchung der Mutter, nicht näher bezeichnet",O28.9
Komplikationen bei Anästhesie in der Schwangerschaft,O29
Pulmonale Komplikationen bei Anästhesie in der Schwangerschaft,O29.0
Kardiale Komplikationen bei Anästhesie in der Schwangerschaft,O29.1
Komplikationen des Zentralnervensystems bei Anästhesie in der Schwangerschaft,O29.2
Toxische Reaktion auf Lokalanästhesie in der Schwangerschaft,O29.3
Kopfschmerzen nach Spinal- oder Periduralanästhesie in der Schwangerschaft,O29.4
Sonstige Komplikationen nach Spinal- oder Periduralanästhesie in der Schwangerschaft,O29.5
Misslingen oder Schwierigkeiten bei der Intubation in der Schwangerschaft,O29.6
Sonstige Komplikationen bei Anästhesie in der Schwangerschaft,O29.8
"Komplikation bei Anästhesie in der Schwangerschaft, nicht näher bezeichnet",O29.9
Schistosomiasis [Bilharziose],B65
Schistosomiasis durch Schistosoma haematobium [Blasenbilharziose],B65.0
Schistosomiasis durch Schistosoma mansoni [Darmbilharziose],B65.1
Schistosomiasis durch Schistosoma japonicum,B65.2
Zerkariendermatitis,B65.3
Sonstige Formen der Schistosomiasis,B65.8
"Schistosomiasis, nicht näher bezeichnet",B65.9
Befall durch sonstige Trematoden [Egel],B66
Opisthorchiasis,B66.0
Clonorchiasis,B66.1
Dicrocoeliasis,B66.2
Fascioliasis,B66.3
Paragonimiasis,B66.4
Fasciolopsiasis,B66.5
Befall durch sonstige näher bezeichnete Trematoden,B66.8
"Trematodenbefall, nicht näher bezeichnet",B66.9
Echinokokkose,B67
Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Leber,B67.0
Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Lunge,B67.1
Echinococcus-granulosus-Infektion [zystische Echinokokkose] der Knochen,B67.2
Echinococcus-granulosus-Infektion [zystische Echinokokkose] an mehreren und sonstigen Lokalisationen,B67.3
"Echinococcus-granulosus-Infektion [zystische Echinokokkose], nicht näher bezeichnet",B67.4
Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose] der Leber,B67.5
Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose] an mehreren und sonstigen Lokalisationen,B67.6
"Echinococcus-multilocularis-Infektion [alveoläre Echinokokkose], nicht näher bezeichnet",B67.7
Nicht näher bezeichnete Echinokokkose der Leber,B67.8
Sonstige und nicht näher bezeichnete Echinokokkose,B67.9
Taeniasis,B68
Befall durch Taenia solium,B68.0
Befall durch Taenia saginata,B68.1
"Taeniasis, nicht näher bezeichnet",B68.9
Zystizerkose,B69
Zystizerkose des Zentralnervensystems,B69.0
Zystizerkose der Augen,B69.1
Zystizerkose an sonstigen Lokalisationen,B69.8
"Zystizerkose, nicht näher bezeichnet",B69.9
Diphyllobothriose und Sparganose,B70
Diphyllobothriose,B70.0
Sparganose,B70.1
Befall durch sonstige Zestoden,B71
Hymenolepiasis,B71.0
Dipylidiose,B71.1
Sonstige näher bezeichnete Zestodeninfektionen,B71.8
"Zestodeninfektion, nicht näher bezeichnet",B71.9
Drakunkulose,B72
Onchozerkose,B73
Filariose,B74
Filariose durch Wuchereria bancrofti,B74.0
Filariose durch Brugia malayi,B74.1
Filariose durch Brugia timori,B74.2
Loiasis,B74.3
Mansonelliasis,B74.4
Sonstige Filariose,B74.8
"Filariose, nicht näher bezeichnet",B74.9
Trichinellose,B75
Hakenwurm-Krankheit,B76
Ankylostomiasis,B76.0
Nekatoriasis,B76.1
Sonstige Hakenwurm-Krankheiten,B76.8
"Hakenwurm-Krankheit, nicht näher bezeichnet",B76.9
Askaridose,B77
Askaridose mit intestinalen Komplikationen,B77.0
Askaridose mit sonstigen Komplikationen,B77.8
"Askaridose, nicht näher bezeichnet",B77.9
Strongyloidiasis,B78
Strongyloidiasis des Darmes,B78.0
Strongyloidiasis der Haut,B78.1
Disseminierte Strongyloidiasis,B78.7
"Strongyloidiasis, nicht näher bezeichnet",B78.9
Trichuriasis,B79
Enterobiasis,B80
"Sonstige intestinale Helminthosen, anderenorts nicht klassifiziert",B81
Anisakiasis,B81.0
Intestinale Kapillariasis,B81.1
Trichostrongyliasis,B81.2
Intestinale Angiostrongyliasis,B81.3
Mischformen intestinaler Helminthosen,B81.4
Sonstige näher bezeichnete intestinale Helminthosen,B81.8
Nicht näher bezeichneter intestinaler Parasitismus,B82
"Intestinale Helminthose, nicht näher bezeichnet",B82.0
"Intestinaler Parasitismus, nicht näher bezeichnet",B82.9
Sonstige Helminthosen,B83
Larva migrans visceralis,B83.0
Gnathostomiasis,B83.1
Angiostrongyliasis durch Parastrongylus cantonensis,B83.2
Syngamiasis,B83.3
Hirudiniasis interna,B83.4
Sonstige näher bezeichnete Helminthosen,B83.8
"Helminthose, nicht näher bezeichnet",B83.9
Akute Virushepatitis A,B15
Virushepatitis A mit Coma hepaticum,B15.0
Virushepatitis A ohne Coma hepaticum,B15.9
Akute Virushepatitis B,B16
Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) und mit Coma hepaticum,B16.0
Akute Virushepatitis B mit Delta-Virus (Begleitinfektion) ohne Coma hepaticum,B16.1
Akute Virushepatitis B ohne Delta-Virus mit Coma hepaticum,B16.2
Akute Virushepatitis B ohne Delta-Virus und ohne Coma hepaticum,B16.9
Sonstige akute Virushepatitis,B17
Akute Delta-Virus- (Super-) Infektion eines Hepatitis-B- (Virus-) Trägers,B17.0
Akute Virushepatitis C,B17.1
Akute Virushepatitis E,B17.2
Sonstige näher bezeichnete akute Virushepatitis,B17.8
"Akute Virushepatitis, nicht näher bezeichnet",B17.9
Chronische Virushepatitis,B18
Chronische Virushepatitis B mit Delta-Virus,B18.0
Chronische Virushepatitis B ohne Delta-Virus,B18.1
"Chronische Virushepatitis B ohne Delta-Virus, Phase 1",B18.11
"Chronische Virushepatitis B ohne Delta-Virus, Phase 2",B18.12
"Chronische Virushepatitis B ohne Delta-Virus, Phase 3",B18.13
"Chronische Virushepatitis B ohne Delta-Virus, Phase 4",B18.14
"Chronische Virushepatitis B ohne Delta-Virus, Phase nicht näher bezeichnet",B18.19
Chronische Virushepatitis C,B18.2
Sonstige chronische Virushepatitis,B18.8
"Chronische Virushepatitis, nicht näher bezeichnet",B18.9
Nicht näher bezeichnete Virushepatitis,B19
Nicht näher bezeichnete Virushepatitis mit hepatischem Koma,B19.0
Nicht näher bezeichnete Virushepatitis ohne hepatisches Koma,B19.9
Disseminierte intravasale Gerinnung [Defibrinationssyndrom],D65
Erworbene Afibrinogenämie,D65.0
"Disseminierte intravasale Gerinnung [DIG, DIC]",D65.1
Erworbene Fibrinolyseblutung,D65.2
"Defibrinationssyndrom, nicht näher bezeichnet",D65.9
Hereditärer Faktor-VIII-Mangel,D66
Hereditärer Faktor-IX-Mangel,D67
Sonstige Koagulopathien,D68
Willebrand-Jürgens-Syndrom,D68.0
Hereditäres Willebrand-Jürgens-Syndrom,D68.00
Erworbenes Willebrand-Jürgens-Syndrom,D68.01
"Willebrand-Jürgens-Syndrom, nicht näher bezeichnet",D68.09
Hereditärer Faktor-XI-Mangel,D68.1
Hereditärer Mangel an sonstigen Gerinnungsfaktoren,D68.2
Hereditärer Faktor-I-Mangel,D68.20
Hereditärer Faktor-II-Mangel,D68.21
Hereditärer Faktor-V-Mangel,D68.22
Hereditärer Faktor-VII-Mangel,D68.23
Hereditärer Faktor-X-Mangel,D68.24
Hereditärer Faktor-XII-Mangel,D68.25
Hereditärer Faktor-XIII-Mangel,D68.26
Hereditärer Mangel an sonstigen Gerinnungsfaktoren,D68.28
Hämorrhagische Diathese durch Antikoagulanzien und Antikörper,D68.3
Hämorrhagische Diathese durch Vermehrung von Antikörpern gegen Faktor VIII,D68.31
Hämorrhagische Diathese durch Vermehrung von Antikörpern gegen sonstige Gerinnungsfaktoren,D68.32
Hämorrhagische Diathese durch Cumarine (Vitamin-K-Antagonisten),D68.33
Hämorrhagische Diathese durch Heparine,D68.34
Hämorrhagische Diathese durch sonstige Antikoagulanzien,D68.35
Sonstige hämorrhagische Diathese durch sonstige und nicht näher bezeichnete Antikörper,D68.38
Erworbener Mangel an Gerinnungsfaktoren,D68.4
Primäre Thrombophilie,D68.5
Sonstige Thrombophilien,D68.6
Sonstige näher bezeichnete Koagulopathien,D68.8
"Koagulopathie, nicht näher bezeichnet",D68.9
Purpura und sonstige hämorrhagische Diathesen,D69
Purpura anaphylactoides,D69.0
Qualitative Thrombozytendefekte,D69.1
Sonstige nichtthrombozytopenische Purpura,D69.2
Idiopathische thrombozytopenische Purpura,D69.3
Sonstige primäre Thrombozytopenie,D69.4
"Sonstige primäre Thrombozytopenie, als transfusionsrefraktär bezeichnet",D69.40
"Sonstige primäre Thrombozytopenie, nicht als transfusionsrefraktär bezeichnet",D69.41
Sekundäre Thrombozytopenie,D69.5
Heparin-induzierte Thrombozytopenie Typ I,D69.52
Heparin-induzierte Thrombozytopenie Typ II,D69.53
"Sonstige sekundäre Thrombozytopenien, als transfusionsrefraktär bezeichnet",D69.57
"Sonstige sekundäre Thrombozytopenien, nicht als transfusionsrefraktär bezeichnet",D69.58
"Sekundäre Thrombozytopenie, nicht näher bezeichnet",D69.59
"Thrombozytopenie, nicht näher bezeichnet",D69.6
"Thrombozytopenie, nicht näher bezeichnet, als transfusionsrefraktär bezeichnet",D69.60
"Thrombozytopenie, nicht näher bezeichnet, nicht als transfusionsrefraktär bezeichnet",D69.61
Sonstige näher bezeichnete hämorrhagische Diathesen,D69.8
Hämorrhagische Diathese durch Thrombozytenaggregationshemmer,D69.80
Sonstige näher bezeichnete hämorrhagische Diathesen,D69.88
"Hämorrhagische Diathese, nicht näher bezeichnet",D69.9
Krankheiten der Nägel,L60
Unguis incarnatus,L60.0
Onycholysis,L60.1
Onychogryposis [Onychogryphosis],L60.2
Nageldystrophie,L60.3
Beau-Reil-Querfurchen,L60.4
Yellow-nail-Syndrom [Syndrom der gelben Nägel],L60.5
Sonstige Krankheiten der Nägel,L60.8
"Krankheit der Nägel, nicht näher bezeichnet",L60.9
Krankheiten der Nägel bei anderenorts klassifizierten Krankheiten,L62
Pachydermoperiostose mit Uhrglasnägeln (M89.4-†),L62.0
Krankheiten der Nägel bei sonstigen anderenorts klassifizierten Krankheiten,L62.8
Alopecia areata,L63
Alopecia (cranialis) totalis,L63.0
Alopecia universalis,L63.1
Ophiasis,L63.2
Sonstige Alopecia areata,L63.8
"Alopecia areata, nicht näher bezeichnet",L63.9
Alopecia androgenetica,L64
Arzneimittelinduzierte Alopecia androgenetica,L64.0
Sonstige Alopecia androgenetica,L64.8
"Alopecia androgenetica, nicht näher bezeichnet",L64.9
Sonstiger Haarausfall ohne Narbenbildung,L65
Telogeneffluvium,L65.0
Anageneffluvium,L65.1
Alopecia mucinosa [Pinkus],L65.2
Sonstiger näher bezeichneter Haarausfall ohne Narbenbildung,L65.8
"Haarausfall ohne Narbenbildung, nicht näher bezeichnet",L65.9
Narbige Alopezie [Haarausfall mit Narbenbildung],L66
Pseudopelade Brocq,L66.0
Lichen planopilaris,L66.1
Folliculitis decalvans,L66.2
Folliculitis et Perifolliculitis capitis abscedens et suffodiens [Hoffmann],L66.3
Atrophodermia vermiculata,L66.4
Sonstige narbige Alopezie,L66.8
"Narbige Alopezie, nicht näher bezeichnet",L66.9
Anomalien der Haarfarbe und des Haarschaftes,L67
Trichorrhexis nodosa,L67.0
Veränderungen der Haarfarbe,L67.1
Sonstige Anomalien der Haarfarbe und des Haarschaftes,L67.8
"Anomalie der Haarfarbe und des Haarschaftes, nicht näher bezeichnet",L67.9
Hypertrichose,L68
Hirsutismus,L68.0
Hypertrichosis lanuginosa acquisita,L68.1
Lokalisierte Hypertrichose,L68.2
Polytrichie,L68.3
Sonstige Hypertrichose,L68.8
"Hypertrichose, nicht näher bezeichnet",L68.9
Akne,L70
Acne vulgaris,L70.0
Acne conglobata,L70.1
Acne varioliformis,L70.2
Acne tropica,L70.3
Acne infantum,L70.4
Acné excoriée,L70.5
Sonstige Akne,L70.8
"Akne, nicht näher bezeichnet",L70.9
Rosazea,L71
Periorale Dermatitis,L71.0
Rhinophym,L71.1
Sonstige Rosazea,L71.8
"Rosazea, nicht näher bezeichnet",L71.9
Follikuläre Zysten der Haut und der Unterhaut,L72
Epidermalzyste,L72.0
Trichilemmalzyste,L72.1
Steatocystoma multiplex,L72.2
Sonstige follikuläre Zysten der Haut und der Unterhaut,L72.8
"Follikuläre Zyste der Haut und der Unterhaut, nicht näher bezeichnet",L72.9
Sonstige Krankheiten der Haarfollikel,L73
Aknekeloid [Folliculitis sclerotisans nuchae],L73.0
Pseudofolliculitis barbae,L73.1
Hidradenitis suppurativa,L73.2
Sonstige näher bezeichnete Krankheiten der Haarfollikel,L73.8
"Krankheit der Haarfollikel, nicht näher bezeichnet",L73.9
Krankheiten der ekkrinen Schweißdrüsen,L74
Miliaria rubra,L74.0
Miliaria cristallina,L74.1
Miliaria profunda,L74.2
"Miliaria, nicht näher bezeichnet",L74.3
Anhidrosis,L74.4
Sonstige Krankheiten der ekkrinen Schweißdrüsen,L74.8
"Krankheit der ekkrinen Schweißdrüsen, nicht näher bezeichnet",L74.9
Krankheiten der apokrinen Schweißdrüsen,L75
Bromhidrosis,L75.0
Chromhidrosis,L75.1
Apokrine Miliaria,L75.2
Sonstige Krankheiten der apokrinen Schweißdrüsen,L75.8
"Krankheit der apokrinen Schweißdrüsen, nicht näher bezeichnet",L75.9
Erworbene isolierte aplastische Anämie [Erythroblastopenie] [pure red cell aplasia],D60
Chronische erworbene isolierte aplastische Anämie,D60.0
Transitorische erworbene isolierte aplastische Anämie,D60.1
Sonstige erworbene isolierte aplastische Anämien,D60.8
"Erworbene isolierte aplastische Anämie, nicht näher bezeichnet",D60.9
Sonstige aplastische Anämien,D61
Angeborene aplastische Anämie,D61.0
Arzneimittelinduzierte aplastische Anämie,D61.1
Aplastische Anämie infolge zytostatischer Therapie,D61.10
Sonstige arzneimittelinduzierte aplastische Anämie,D61.18
"Arzneimittelinduzierte aplastische Anämie, nicht näher bezeichnet",D61.19
Aplastische Anämie infolge sonstiger äußerer Ursachen,D61.2
Idiopathische aplastische Anämie,D61.3
Sonstige näher bezeichnete aplastische Anämien,D61.8
"Aplastische Anämie, nicht näher bezeichnet",D61.9
Akute Blutungsanämie,D62
"Anämie bei chronischen, anderenorts klassifizierten Krankheiten",D63
Anämie bei Neubildungen (C00-D48†),D63.0
"Anämie bei sonstigen chronischen, anderenorts klassifizierten Krankheiten",D63.8
Sonstige Anämien,D64
Hereditäre sideroachrestische [sideroblastische] Anämie,D64.0
Sekundäre sideroachrestische [sideroblastische] Anämie (krankheitsbedingt),D64.1
Sekundäre sideroachrestische [sideroblastische] Anämie durch Arzneimittel oder Toxine,D64.2
Sonstige sideroachrestische [sideroblastische] Anämien,D64.3
Kongenitale dyserythropoetische Anämie,D64.4
Sonstige näher bezeichnete Anämien,D64.8
"Anämie, nicht näher bezeichnet",D64.9
Alkoholische Leberkrankheit,K70
Alkoholische Fettleber,K70.0
Alkoholische Hepatitis,K70.1
Alkoholische Fibrose und Sklerose der Leber,K70.2
Alkoholische Leberzirrhose,K70.3
Alkoholisches Leberversagen,K70.4
Akutes und subakutes alkoholisches Leberversagen,K70.40
Chronisches alkoholisches Leberversagen,K70.41
Akut-auf-chronisches alkoholisches Leberversagen,K70.42
Sonstiges und nicht näher bezeichnetes alkoholisches Leberversagen,K70.48
"Alkoholische Leberkrankheit, nicht näher bezeichnet",K70.9
Toxische Leberkrankheit,K71
Toxische Leberkrankheit mit Cholestase,K71.0
Toxische Leberkrankheit mit Lebernekrose,K71.1
Toxische Leberkrankheit mit akuter Hepatitis,K71.2
Toxische Leberkrankheit mit chronisch-persistierender Hepatitis,K71.3
Toxische Leberkrankheit mit chronischer lobulärer Hepatitis,K71.4
Toxische Leberkrankheit mit chronisch-aktiver Hepatitis,K71.5
"Toxische Leberkrankheit mit Hepatitis, anderenorts nicht klassifiziert",K71.6
Toxische Leberkrankheit mit Fibrose und Zirrhose der Leber,K71.7
Toxische Leberkrankheit mit sonstigen Affektionen der Leber,K71.8
Toxische veno-okklusive Leberkrankheit,K71.80
Toxische Leberkrankheit mit sonstigen Affektionen der Leber,K71.88
"Toxische Leberkrankheit, nicht näher bezeichnet",K71.9
"Leberversagen, anderenorts nicht klassifiziert",K72
"Akutes und subakutes Leberversagen, anderenorts nicht klassifiziert",K72.0
"Chronisches Leberversagen, anderenorts nicht klassifiziert",K72.1
"Akut-auf-chronisches Leberversagen, anderenorts nicht klassifiziert",K72.10
"Sonstiges und nicht näher bezeichnetes chronisches Leberversagen, anderenorts nicht klassifiziert",K72.18
Hepatische Enzephalopathie und Coma hepaticum,K72.7
Hepatische Enzephalopathie Grad 1,K72.71
Hepatische Enzephalopathie Grad 2,K72.72
Hepatische Enzephalopathie Grad 3,K72.73
Hepatische Enzephalopathie Grad 4,K72.74
"Hepatische Enzephalopathie, Grad nicht näher bezeichnet",K72.79
"Leberversagen, nicht näher bezeichnet",K72.9
"Chronische Hepatitis, anderenorts nicht klassifiziert",K73
"Chronische persistierende Hepatitis, anderenorts nicht klassifiziert",K73.0
